"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Mês","region","Variável","Valor"
"novembro 2009","Sudeste","Produção (Toneladas)","4054103"
"novembro 2009","Sul","Área colhida (Hectares)","8262988"
"novembro 2009","Sul","Produção (Toneladas)","18399243"
"novembro 2009","Centro-Oeste","Área colhida (Hectares)","9904996"
"novembro 2009","Centro-Oeste","Produção (Toneladas)","28973897"
"dezembro 2009","Brasil","Área colhida (Hectares)","21736341"
"dezembro 2009","Brasil","Produção (Toneladas)","57036668"
"dezembro 2009","Norte","Área colhida (Hectares)","495426"
"dezembro 2009","Norte","Produção (Toneladas)","1430432"
"dezembro 2009","Nordeste","Área colhida (Hectares)","1612923"
"dezembro 2009","Nordeste","Produção (Toneladas)","4175198"
"dezembro 2009","Sudeste","Área colhida (Hectares)","1460008"
"dezembro 2009","Sudeste","Produção (Toneladas)","4057898"
"dezembro 2009","Sul","Área colhida (Hectares)","8262988"
"dezembro 2009","Sul","Produção (Toneladas)","18399243"
"dezembro 2009","Centro-Oeste","Área colhida (Hectares)","9904996"
"dezembro 2009","Centro-Oeste","Produção (Toneladas)","28973897"
"janeiro 2010","Brasil","Área colhida (Hectares)","23036815"
"janeiro 2010","Brasil","Produção (Toneladas)","66137344"
"janeiro 2010","Norte","Área colhida (Hectares)","521900"
"janeiro 2010","Norte","Produção (Toneladas)","1492365"
"janeiro 2010","Nordeste","Área colhida (Hectares)","1751851"
"janeiro 2010","Nordeste","Produção (Toneladas)","4945717"
"janeiro 2010","Sudeste","Área colhida (Hectares)","1547313"
"janeiro 2010","Sudeste","Produção (Toneladas)","4369122"
"janeiro 2010","Sul","Área colhida (Hectares)","8813801"
"janeiro 2010","Sul","Produção (Toneladas)","23935562"
"janeiro 2010","Centro-Oeste","Área colhida (Hectares)","10401950"
"janeiro 2010","Centro-Oeste","Produção (Toneladas)","31394578"
"fevereiro 2010","Brasil","Área colhida (Hectares)","23019333"
"fevereiro 2010","Brasil","Produção (Toneladas)","66941524"
"fevereiro 2010","Norte","Área colhida (Hectares)","523728"
"fevereiro 2010","Norte","Produção (Toneladas)","1513910"
"fevereiro 2010","Nordeste","Área colhida (Hectares)","1758525"
"fevereiro 2010","Nordeste","Produção (Toneladas)","5154552"
"fevereiro 2010","Sudeste","Área colhida (Hectares)","1550023"
"fevereiro 2010","Sudeste","Produção (Toneladas)","4384470"
"fevereiro 2010","Sul","Área colhida (Hectares)","8815107"
"fevereiro 2010","Sul","Produção (Toneladas)","24406514"
"fevereiro 2010","Centro-Oeste","Área colhida (Hectares)","10371950"
"fevereiro 2010","Centro-Oeste","Produção (Toneladas)","31482078"
"março 2010","Brasil","Área colhida (Hectares)","23136247"
"março 2010","Brasil","Produção (Toneladas)","67350136"
"março 2010","Norte","Área colhida (Hectares)","522228"
"março 2010","Norte","Produção (Toneladas)","1508477"
"março 2010","Nordeste","Área colhida (Hectares)","1754316"
"março 2010","Nordeste","Produção (Toneladas)","5056439"
"março 2010","Sudeste","Área colhida (Hectares)","1550683"
"março 2010","Sudeste","Produção (Toneladas)","4385290"
"março 2010","Sul","Área colhida (Hectares)","8911944"
"março 2010","Sul","Produção (Toneladas)","25100838"
"março 2010","Centro-Oeste","Área colhida (Hectares)","10397076"
"março 2010","Centro-Oeste","Produção (Toneladas)","31299092"
"abril 2010","Brasil","Área colhida (Hectares)","23167725"
"abril 2010","Brasil","Produção (Toneladas)","67913643"
"abril 2010","Norte","Área colhida (Hectares)","539273"
"abril 2010","Norte","Produção (Toneladas)","1538835"
"abril 2010","Nordeste","Área colhida (Hectares)","1755316"
"abril 2010","Nordeste","Produção (Toneladas)","5058939"
"abril 2010","Sudeste","Área colhida (Hectares)","1550961"
"abril 2010","Sudeste","Produção (Toneladas)","4380193"
"abril 2010","Sul","Área colhida (Hectares)","8912797"
"abril 2010","Sul","Produção (Toneladas)","25259063"
"abril 2010","Centro-Oeste","Área colhida (Hectares)","10409378"
"abril 2010","Centro-Oeste","Produção (Toneladas)","31676613"
"maio 2010","Brasil","Área colhida (Hectares)","23317258"
"maio 2010","Brasil","Produção (Toneladas)","68131230"
"maio 2010","Norte","Área colhida (Hectares)","539368"
"maio 2010","Norte","Produção (Toneladas)","1538933"
"maio 2010","Nordeste","Área colhida (Hectares)","1853127"
"maio 2010","Nordeste","Produção (Toneladas)","5313340"
"maio 2010","Sudeste","Área colhida (Hectares)","1551581"
"maio 2010","Sudeste","Produção (Toneladas)","4288132"
"maio 2010","Sul","Área colhida (Hectares)","8908024"
"maio 2010","Sul","Produção (Toneladas)","25485847"
"maio 2010","Centro-Oeste","Área colhida (Hectares)","10465158"
"maio 2010","Centro-Oeste","Produção (Toneladas)","31504978"
"junho 2010","Brasil","Área colhida (Hectares)","23330979"
"junho 2010","Brasil","Produção (Toneladas)","68013461"
"junho 2010","Norte","Área colhida (Hectares)","539618"
"junho 2010","Norte","Produção (Toneladas)","1542175"
"junho 2010","Nordeste","Área colhida (Hectares)","1861247"
"junho 2010","Nordeste","Produção (Toneladas)","5239943"
"junho 2010","Sudeste","Área colhida (Hectares)","1550261"
"junho 2010","Sudeste","Produção (Toneladas)","4219433"
"junho 2010","Sul","Área colhida (Hectares)","8908024"
"junho 2010","Sul","Produção (Toneladas)","25485847"
"junho 2010","Centro-Oeste","Área colhida (Hectares)","10471829"
"junho 2010","Centro-Oeste","Produção (Toneladas)","31526063"
"julho 2010","Brasil","Área colhida (Hectares)","23319037"
"julho 2010","Brasil","Produção (Toneladas)","68265873"
"julho 2010","Norte","Área colhida (Hectares)","538613"
"julho 2010","Norte","Produção (Toneladas)","1538278"
"julho 2010","Nordeste","Área colhida (Hectares)","1861247"
"julho 2010","Nordeste","Produção (Toneladas)","5239943"
"julho 2010","Sudeste","Área colhida (Hectares)","1550261"
"julho 2010","Sudeste","Produção (Toneladas)","4218889"
"julho 2010","Sul","Área colhida (Hectares)","8892494"
"julho 2010","Sul","Produção (Toneladas)","25695414"
"julho 2010","Centro-Oeste","Área colhida (Hectares)","10476422"
"julho 2010","Centro-Oeste","Produção (Toneladas)","31573349"
"agosto 2010","Brasil","Área colhida (Hectares)","23396795"
"agosto 2010","Brasil","Produção (Toneladas)","68674134"
"agosto 2010","Norte","Área colhida (Hectares)","559078"
"agosto 2010","Norte","Produção (Toneladas)","1600933"
"agosto 2010","Nordeste","Área colhida (Hectares)","1860295"
"agosto 2010","Nordeste","Produção (Toneladas)","5306503"
"agosto 2010","Sudeste","Área colhida (Hectares)","1592991"
"agosto 2010","Sudeste","Produção (Toneladas)","4457319"
"agosto 2010","Sul","Área colhida (Hectares)","8892494"
"agosto 2010","Sul","Produção (Toneladas)","25673464"
"agosto 2010","Centro-Oeste","Área colhida (Hectares)","10491937"
"agosto 2010","Centro-Oeste","Produção (Toneladas)","31635915"
"setembro 2010","Brasil","Área colhida (Hectares)","23404498"
"setembro 2010","Brasil","Produção (Toneladas)","68685605"
"setembro 2010","Norte","Área colhida (Hectares)","562778"
"setembro 2010","Norte","Produção (Toneladas)","1611183"
"setembro 2010","Nordeste","Área colhida (Hectares)","1860295"
"setembro 2010","Nordeste","Produção (Toneladas)","5306503"
"setembro 2010","Sudeste","Área colhida (Hectares)","1592991"
"setembro 2010","Sudeste","Produção (Toneladas)","4457319"
"setembro 2010","Sul","Área colhida (Hectares)","8892494"
"setembro 2010","Sul","Produção (Toneladas)","25673464"
"setembro 2010","Centro-Oeste","Área colhida (Hectares)","10495940"
"setembro 2010","Centro-Oeste","Produção (Toneladas)","31637136"
"outubro 2010","Brasil","Área colhida (Hectares)","23325549"
"outubro 2010","Brasil","Produção (Toneladas)","68500880"
"outubro 2010","Norte","Área colhida (Hectares)","563198"
"outubro 2010","Norte","Produção (Toneladas)","1612231"
"outubro 2010","Nordeste","Área colhida (Hectares)","1860295"
"outubro 2010","Nordeste","Produção (Toneladas)","5306548"
"outubro 2010","Sudeste","Área colhida (Hectares)","1512791"
"outubro 2010","Sudeste","Produção (Toneladas)","4266839"
"outubro 2010","Sul","Área colhida (Hectares)","8892494"
"outubro 2010","Sul","Produção (Toneladas)","25673464"
"outubro 2010","Centro-Oeste","Área colhida (Hectares)","10496771"
"outubro 2010","Centro-Oeste","Produção (Toneladas)","31641798"
"novembro 2010","Brasil","Área colhida (Hectares)","23309591"
"novembro 2010","Brasil","Produção (Toneladas)","68467108"
"novembro 2010","Norte","Área colhida (Hectares)","563198"
"novembro 2010","Norte","Produção (Toneladas)","1612231"
"novembro 2010","Nordeste","Área colhida (Hectares)","1860295"
"novembro 2010","Nordeste","Produção (Toneladas)","5306548"
"novembro 2010","Sudeste","Área colhida (Hectares)","1512791"
"novembro 2010","Sudeste","Produção (Toneladas)","4266839"
"novembro 2010","Sul","Área colhida (Hectares)","8892494"
"novembro 2010","Sul","Produção (Toneladas)","25673464"
"novembro 2010","Centro-Oeste","Área colhida (Hectares)","10480813"
"novembro 2010","Centro-Oeste","Produção (Toneladas)","31608026"
"dezembro 2010","Brasil","Área colhida (Hectares)","23302621"
"dezembro 2010","Brasil","Produção (Toneladas)","68479967"
"dezembro 2010","Norte","Área colhida (Hectares)","563198"
"dezembro 2010","Norte","Produção (Toneladas)","1612231"
"dezembro 2010","Nordeste","Área colhida (Hectares)","1860995"
"dezembro 2010","Nordeste","Produção (Toneladas)","5308842"
"dezembro 2010","Sudeste","Área colhida (Hectares)","1511111"
"dezembro 2010","Sudeste","Produção (Toneladas)","4293584"
"dezembro 2010","Sul","Área colhida (Hectares)","8892494"
"dezembro 2010","Sul","Produção (Toneladas)","25673464"
"dezembro 2010","Centro-Oeste","Área colhida (Hectares)","10474823"
"dezembro 2010","Centro-Oeste","Produção (Toneladas)","31591846"
"janeiro 2011","Brasil","Área colhida (Hectares)","23663416"
"janeiro 2011","Brasil","Produção (Toneladas)","67627612"
"janeiro 2011","Norte","Área colhida (Hectares)","562535"
"janeiro 2011","Norte","Produção (Toneladas)","1627632"
"janeiro 2011","Nordeste","Área colhida (Hectares)","1936663"
"janeiro 2011","Nordeste","Produção (Toneladas)","5694202"
"janeiro 2011","Sudeste","Área colhida (Hectares)","1544330"
"janeiro 2011","Sudeste","Produção (Toneladas)","4483185"
"janeiro 2011","Sul","Área colhida (Hectares)","9006715"
"janeiro 2011","Sul","Produção (Toneladas)","23685355"
"janeiro 2011","Centro-Oeste","Área colhida (Hectares)","10613173"
"janeiro 2011","Centro-Oeste","Produção (Toneladas)","32137238"
"fevereiro 2011","Brasil","Área colhida (Hectares)","23719963"
"fevereiro 2011","Brasil","Produção (Toneladas)","68992950"
"fevereiro 2011","Norte","Área colhida (Hectares)","588650"
"fevereiro 2011","Norte","Produção (Toneladas)","1723324"
"fevereiro 2011","Nordeste","Área colhida (Hectares)","1950451"
"fevereiro 2011","Nordeste","Produção (Toneladas)","5839154"
"fevereiro 2011","Sudeste","Área colhida (Hectares)","1519709"
"fevereiro 2011","Sudeste","Produção (Toneladas)","4251721"
"fevereiro 2011","Sul","Área colhida (Hectares)","9012464"
"fevereiro 2011","Sul","Produção (Toneladas)","23839504"
"fevereiro 2011","Centro-Oeste","Área colhida (Hectares)","10648689"
"fevereiro 2011","Centro-Oeste","Produção (Toneladas)","33339247"
"março 2011","Brasil","Área colhida (Hectares)","23781271"
"março 2011","Brasil","Produção (Toneladas)","71595025"
"março 2011","Norte","Área colhida (Hectares)","591950"
"março 2011","Norte","Produção (Toneladas)","1760667"
"março 2011","Nordeste","Área colhida (Hectares)","1952878"
"março 2011","Nordeste","Produção (Toneladas)","5898104"
"março 2011","Sudeste","Área colhida (Hectares)","1514138"
"março 2011","Sudeste","Produção (Toneladas)","4227146"
"março 2011","Sul","Área colhida (Hectares)","9041166"
"março 2011","Sul","Produção (Toneladas)","26768402"
"março 2011","Centro-Oeste","Área colhida (Hectares)","10681139"
"março 2011","Centro-Oeste","Produção (Toneladas)","32940706"
"abril 2011","Brasil","Área colhida (Hectares)","23954132"
"abril 2011","Brasil","Produção (Toneladas)","72838610"
"abril 2011","Norte","Área colhida (Hectares)","592650"
"abril 2011","Norte","Produção (Toneladas)","1764557"
"abril 2011","Nordeste","Área colhida (Hectares)","1943870"
"abril 2011","Nordeste","Produção (Toneladas)","5880809"
"abril 2011","Sudeste","Área colhida (Hectares)","1509800"
"abril 2011","Sudeste","Produção (Toneladas)","4165814"
"abril 2011","Sul","Área colhida (Hectares)","9124486"
"abril 2011","Sul","Produção (Toneladas)","27251503"
"abril 2011","Centro-Oeste","Área colhida (Hectares)","10783326"
"abril 2011","Centro-Oeste","Produção (Toneladas)","33775927"
"maio 2011","Brasil","Área colhida (Hectares)","23991641"
"maio 2011","Brasil","Produção (Toneladas)","74291984"
"maio 2011","Norte","Área colhida (Hectares)","589118"
"maio 2011","Norte","Produção (Toneladas)","1749546"
"maio 2011","Nordeste","Área colhida (Hectares)","1955056"
"maio 2011","Nordeste","Produção (Toneladas)","6240503"
"maio 2011","Sudeste","Área colhida (Hectares)","1499100"
"maio 2011","Sudeste","Produção (Toneladas)","4169294"
"maio 2011","Sul","Área colhida (Hectares)","9118270"
"maio 2011","Sul","Produção (Toneladas)","28491149"
"maio 2011","Centro-Oeste","Área colhida (Hectares)","10830097"
"maio 2011","Centro-Oeste","Produção (Toneladas)","33641492"
"junho 2011","Brasil","Área colhida (Hectares)","24077701"
"junho 2011","Brasil","Produção (Toneladas)","74889136"
"junho 2011","Norte","Área colhida (Hectares)","608850"
"junho 2011","Norte","Produção (Toneladas)","1878143"
"junho 2011","Nordeste","Área colhida (Hectares)","1960383"
"junho 2011","Nordeste","Produção (Toneladas)","6228594"
"junho 2011","Sudeste","Área colhida (Hectares)","1556824"
"junho 2011","Sudeste","Produção (Toneladas)","4423904"
"junho 2011","Sul","Área colhida (Hectares)","9117811"
"junho 2011","Sul","Produção (Toneladas)","28531821"
"junho 2011","Centro-Oeste","Área colhida (Hectares)","10833833"
"junho 2011","Centro-Oeste","Produção (Toneladas)","33826674"
"julho 2011","Brasil","Área colhida (Hectares)","24058647"
"julho 2011","Brasil","Produção (Toneladas)","74841577"
"julho 2011","Norte","Área colhida (Hectares)","609750"
"julho 2011","Norte","Produção (Toneladas)","1879223"
"julho 2011","Nordeste","Área colhida (Hectares)","1960077"
"julho 2011","Nordeste","Produção (Toneladas)","6229667"
"julho 2011","Sudeste","Área colhida (Hectares)","1554609"
"julho 2011","Sudeste","Produção (Toneladas)","4418707"
"julho 2011","Sul","Área colhida (Hectares)","9117601"
"julho 2011","Sul","Produção (Toneladas)","28550706"
"julho 2011","Centro-Oeste","Área colhida (Hectares)","10816610"
"julho 2011","Centro-Oeste","Produção (Toneladas)","33763274"
"agosto 2011","Brasil","Área colhida (Hectares)","24070954"
"agosto 2011","Brasil","Produção (Toneladas)","74872713"
"agosto 2011","Norte","Área colhida (Hectares)","622925"
"agosto 2011","Norte","Produção (Toneladas)","1904348"
"agosto 2011","Nordeste","Área colhida (Hectares)","1960077"
"agosto 2011","Nordeste","Produção (Toneladas)","6229669"
"agosto 2011","Sudeste","Área colhida (Hectares)","1554809"
"agosto 2011","Sudeste","Produção (Toneladas)","4419207"
"agosto 2011","Sul","Área colhida (Hectares)","9117601"
"agosto 2011","Sul","Produção (Toneladas)","28550706"
"agosto 2011","Centro-Oeste","Área colhida (Hectares)","10815542"
"agosto 2011","Centro-Oeste","Produção (Toneladas)","33768783"
"setembro 2011","Brasil","Área colhida (Hectares)","24062174"
"setembro 2011","Brasil","Produção (Toneladas)","74845382"
"setembro 2011","Norte","Área colhida (Hectares)","622925"
"setembro 2011","Norte","Produção (Toneladas)","1904348"
"setembro 2011","Nordeste","Área colhida (Hectares)","1960077"
"setembro 2011","Nordeste","Produção (Toneladas)","6229669"
"setembro 2011","Sudeste","Área colhida (Hectares)","1554829"
"setembro 2011","Sudeste","Produção (Toneladas)","4419237"
"setembro 2011","Sul","Área colhida (Hectares)","9117601"
"setembro 2011","Sul","Produção (Toneladas)","28550226"
"setembro 2011","Centro-Oeste","Área colhida (Hectares)","10806742"
"setembro 2011","Centro-Oeste","Produção (Toneladas)","33741902"
"outubro 2011","Brasil","Área colhida (Hectares)","24048759"
"outubro 2011","Brasil","Produção (Toneladas)","74839655"
"outubro 2011","Norte","Área colhida (Hectares)","612310"
"outubro 2011","Norte","Produção (Toneladas)","1871721"
"outubro 2011","Nordeste","Área colhida (Hectares)","1960077"
"outubro 2011","Nordeste","Produção (Toneladas)","6229669"
"outubro 2011","Sudeste","Área colhida (Hectares)","1552029"
"outubro 2011","Sudeste","Produção (Toneladas)","4446137"
"outubro 2011","Sul","Área colhida (Hectares)","9117601"
"outubro 2011","Sul","Produção (Toneladas)","28550226"
